gene,D3,K2
AFP,3,5
AFTPH,1834,636
AGA,155,91
AGAP1,1725,632
AGAP1-IT1,1,5
AGAP11,7,7
AGAP2,12,3
AGAP2-AS1,28,7
AGAP3,1326,1299
AGAP4,2,33
AGAP5,63,78
AGAP6,184,461
AGAP7P,12,18
AGAP9,2,24
AGBL1,0,0
AGBL1-AS1,0,0
AGBL2,20,6
AGBL3,21,6
AGBL4,1,0
AGBL4-IT1,0,0
AGBL5,710,526
AGBL5-AS1,0,0
AGER,0,1
AGFG1,4848,2098
AGFG2,592,342
AGGF1,1049,264
AGK,948,410
AGL,794,254
AGMAT,1,0
AGMO,0,0
AGO1,629,369
AGO2,910,750
AGO3,384,481
AGO4,780,174
AGPAT1,127,85
AGPAT2,308,266
AGPAT3,2983,965
AGPAT4,828,857
AGPAT4-IT1,30,9
AGPAT5,4961,895
AGPAT6,2239,1387
AGPAT9,355,232
AGPS,1675,685
AGR2,0,0
AGR3,0,0
AGRN,3318,816
AGRP,0,0
AGT,299,146
AGTPBP1,216,249
AGTR1,1,0
AGTR2,4,0
AGTRAP,849,806
AGXT,0,0
AGXT2,0,0
AHCTF1,2464,2162
AHCTF1P1,364,218
AHCY,6766,14450
AHCYL1,5010,3635
AHCYL2,521,405
AHDC1,171,55
AHI1,617,403
AHNAK,17844,5535
AHNAK2,3697,1029
AHR,2712,827
AHRR,593,292
AHSA1,4283,6503
AHSA2,427,521
AHSG,0,0
AHSP,0,1
AICDA,0,0
AIDA,763,795
AIF1,0,0
AIF1L,28,20
AIFM1,1006,913
AIFM2,984,743
AIFM3,9,6
AIG1,1297,1367
AIM1,17,3
AIM1L,12,1
AIM2,16,3
AIMP1,2141,2393
AIMP2,1284,378
AIP,831,1766
AIPL1,0,0
AIRE,0,0
AIRN,1,1
AJAP1,206,32
AJUBA,3676,354
AK1,772,793
AK2,2564,2565
AK3,727,623
AK4,248,91
AK5,5,3
AK6,941,663
AK7,11,1
AK8,3,5
AK9,233,44
AKAP1,2743,899
AKAP10,593,127
AKAP11,2652,343
AKAP12,216,168
